Location Code,Location Name,Location Display Name,Location Type,Parent Location Code,Active Status,Test Location,Timezone,Address Line 1,Address Line 2,City,State,Zip Code,Country,Phone Number,Phone Ext.,Email,Latitude,Longitude,Location Color,Auto-Wrap Time,Show Signed in Users,Enable Wait Smarter,Allow remote check-in,Cutoff Before Closing,Check In Lead Time,Use Appointments,Future Availability Window,Appointment Cutoff Window,Summary Email Notification Time,Reminder Email Notification Time,Reminder text message notification time,Lead time for appointment booking,Concurrency Mode,Max. no of Appointments,Float Priority Mode,Change Appointemnt Status,Appointment status to change,Allow request staff,Show in widget,Use Events
"932c1a8b-bdf3-4e85-ad42-4b2ae3cfd762","1tddm-Pearland-burgh","1tddm-Pearland-burgh","Organization","Default","1","Default","Syria Standard Time","8108 Kathryn Hollow","Suite 607","New Dale","Utah","44173","Argentina","106-410-9478","0","Brent_Howell@yahoo.com","-66.06","63.446","RGB(72,108,46)","11:35:04","1","1","1","11:35:04","11:35:04","1","96","79","11:35:04","2","1","1","null","58","2","0","Completed","1","1","0"
"fad00813-71ca-4b58-8f8f-dc20a7e7f6bd","iujnk-State College-borough","iujnk-State College-borough","Branch","Default","0","Default","Mountain Standard Time (Mexico)","598 Pouros Gardens","Apt. 548","East Carmellachester","Pennsylvania","16879-7826","Indonesia","639-588-0703","1","Nicolette.Wisozk@yahoo.com","-4.7451","-23.0921","RGB(24,198,57)","11:35:04","1","1","1","11:35:04","11:35:04","1","60","95","11:35:04","0","2","1","null","43","2","0","Cancelled","0","0","0"
"788c2606-a83c-4c50-b3ad-c4296ad698e3","c08r9-Amarillo-mouth","c08r9-Amarillo-mouth","Region","Default","0","Default","Greenwich Standard Time","66815 Lesley Shores","Suite 189","Abbottbury","Nebraska","26847","Svalbard & Jan Mayen Islands","495-207-2019","4","Josue72@gmail.com","-57.4048","133.0238","RGB(195,224,202)","11:35:04","1","1","1","11:35:04","11:35:04","0","4","47","11:35:04","2","0","0","null","11","3","1","Completed","0","0","0"
"5c30c9b8-86ac-4dac-8fd1-235ed0490350","o1fpi-Rochester Hills-ton","o1fpi-Rochester Hills-ton","Region","Default","1","Default","US Mountain Standard Time","6319 Jakubowski Knolls","Suite 890","Lake Mary","Montana","69721-7014","Poland","642-049-7270","4","Vergie66@gmail.com","-42.201","-54.7776","RGB(80,158,165)","11:35:04","0","1","0","11:35:04","11:35:04","0","92","98","11:35:04","0","2","2","null","25","1","0","Assigned","0","0","0"
"860071a2-08bd-465b-83a8-a76af609b33a","6otlo-Kingsport-chester","6otlo-Kingsport-chester","Area","Default","0","Default","Paraguay Standard Time","61674 Schmitt Avenue","Apt. 362","Redondo Beach","North Dakota","30354-3324","Serbia","090-945-1983","0","Keara_Abbott25@yahoo.com","-4.2639","22.143","RGB(110,44,57)","11:35:04","0","0","1","11:35:04","11:35:04","1","20","101","11:35:04","1","2","1","null","6","2","0","No Show","1","0","0"
"d1268e29-9ac4-40e8-aef2-f7a84ca44d95","fyh40-Colorado Springs-ville","fyh40-Colorado Springs-ville","Organization","Default","1","Default","Ekaterinburg Standard Time","66579 Bruen Rue","Suite 106","Johnsontown","Ohio","39097-7228","United Arab Emirates","445-870-7088","3","Aisha_Dibbert73@yahoo.com","37.7486","-84.9801","RGB(233,53,200)","11:35:04","0","1","0","11:35:04","11:35:04","1","87","9","11:35:04","0","0","1","null","31","2","1","Cancelled","0","1","0"
"87b46ce1-eb66-4a77-b404-2948572dcea6","vx3oc-Shreveport-berg","vx3oc-Shreveport-berg","Organization","Default","1","Default","Kamchatka Standard Time","697 Schmidt Ports","Apt. 283","Kaseyburgh","Colorado","30647-1465","Senegal","449-654-2655","2","Presley.Kutch@gmail.com","-57.5708","147.0565","RGB(51,97,82)","11:35:04","1","1","1","11:35:04","11:35:04","0","62","77","11:35:04","0","1","2","null","15","3","0","Cancelled","0","1","0"
"a4c9f5a6-313e-4770-820b-1a87589129f0","n2egz-Dayton-borough","n2egz-Dayton-borough","Organization","Default","1","Default","Central Asia Standard Time","32363 Little Island","Suite 188","Waukesha","Missouri","54504-4642","Pitcairn Islands","067-165-6165","3","Fernando.Klocko94@hotmail.com","-23.3106","14.2571","RGB(121,122,48)","11:35:04","1","1","1","11:35:04","11:35:04","0","48","2","11:35:04","1","0","2","null","32","3","1","Added","1","0","0"
"daf0b7b4-e526-41f8-971c-8b598949e8a7","ofimm-Lansing-stad","ofimm-Lansing-stad","Branch","Default","1","Default","Argentina Standard Time","525 Barton Ports","Suite 270","North Chasitystad","Washington","85023","Hungary","078-016-2357","2","Jordane.Murray67@yahoo.com","-45.1892","79.0884","RGB(192,148,152)","11:35:04","0","1","1","11:35:04","11:35:04","1","23","16","11:35:04","0","2","0","null","48","3","0","No Show","0","1","0"
"0bc2f24a-8415-45a7-9bff-1d00c172bb5b","gzc6g-Palo Alto-ville","gzc6g-Palo Alto-ville","Region","Default","0","Default","Morocco Standard Time","8118 Thomas Fords","Suite 850","Nashua","Washington","48379","Eritrea","316-574-7463","1","Noble.Jenkins11@gmail.com","65.6443","149.7384","RGB(195,72,23)","11:35:04","1","1","0","11:35:04","11:35:04","0","38","16","11:35:04","0","0","1","null","80","2","1","Assigned","1","0","1"
"cb29b169-73b3-4f3a-9087-daf495dfab2a","lc3bx-Hoover-chester","lc3bx-Hoover-chester","Branch","Default","0","Default","Tokyo Standard Time","69827 Mafalda Pass","Apt. 808","West Gaston","Wisconsin","99813","New Zealand","042-321-5617","0","Ulises_Wintheiser60@gmail.com","79.1945","179.7354","RGB(105,206,13)","11:35:04","0","1","0","11:35:04","11:35:04","1","18","83","11:35:04","0","1","0","null","35","1","1","Assigned","0","1","0"
"0dd5f644-4701-4896-9572-5865027a6af4","44c0j-Shawnee-land","44c0j-Shawnee-land","Branch","Default","1","Default","Iran Standard Time","216 Kulas Flat","Suite 658","Hattiesburg","Wyoming","09051","Sao Tome and Principe","113-061-0439","3","Benny53@yahoo.com","57.7554","-36.4737","RGB(191,252,145)","11:35:04","0","0","1","11:35:04","11:35:04","0","23","65","11:35:04","1","1","0","null","49","2","1","No Show","0","0","0"
"e2d0728c-38a5-4312-a6b0-7b74e7060618","js72f-Blacksburg-side","js72f-Blacksburg-side","Area","Default","0","Default","Atlantic Standard Time","84845 Muller Wells","Suite 176","Bayamon","Indiana","94501","French Guiana","291-480-7267","0","Viva_Schamberger8@gmail.com","-21.5277","-122.157","RGB(237,251,83)","11:35:04","1","0","0","11:35:04","11:35:04","0","61","80","11:35:04","1","0","0","null","68","1","0","Assigned","0","0","1"
"39826a74-ae2d-4c98-9997-d319fb35b4f8","msohi-Perris-chester","msohi-Perris-chester","Area","Default","0","Default","US Eastern Standard Time","1539 Joelle Motorway","Apt. 072","Lake Lavernhaven","New Mexico","59122","San Marino","588-703-4568","1","Susana31@gmail.com","32.3685","-106.0986","RGB(177,249,34)","11:35:04","0","1","1","11:35:04","11:35:04","1","59","95","11:35:04","2","2","2","null","74","2","1","Completed","1","0","0"
"ae5805c9-005e-45d6-9fd3-6148bb688a16","ei8rt-Miami Beach-side","ei8rt-Miami Beach-side","Area","Default","0","Default","Egypt Standard Time","1439 Rowe Ramp","Apt. 718","West Zoefort","Texas","68533","Democratic People's Republic of Korea","706-400-9432","3","Brendan31@yahoo.com","-82.112","60.938","RGB(243,254,150)","11:35:05","0","0","1","11:35:05","11:35:05","1","74","80","11:35:05","1","2","0","null","44","3","0","Completed","1","1","0"
"00de8f54-6ef6-436b-a513-b12a4fef3054","zgfvw-Johnson City-borough","zgfvw-Johnson City-borough","Department","Default","1","Default","China Standard Time","0247 Dasia Lock","Suite 727","Xandermouth","Mississippi","49972-2026","Gambia","269-791-3399","2","Vince39@yahoo.com","-35.6185","82.9962","RGB(168,132,237)","11:35:05","0","0","0","11:35:05","11:35:05","0","82","29","11:35:05","1","2","2","null","56","2","0","Assigned","0","1","1"
"55cb52c0-f155-4c96-89b5-b95d23c266af","j7kqo-Columbus-shire","j7kqo-Columbus-shire","Region","Default","0","Default","Romance Standard Time","40115 Jedediah Roads","Apt. 026","Christiansenport","California","03586-4792","Jamaica","719-880-8843","4","Hassie.Waelchi@gmail.com","30.7379","-151.3066","RGB(111,19,101)","11:35:05","0","1","1","11:35:05","11:35:05","0","96","82","11:35:05","0","2","0","null","78","3","1","Cancelled","1","1","1"
"01818d5d-28d5-4780-bf03-992260d1c30e","auu90-Allentown-burgh","auu90-Allentown-burgh","Organization","Default","1","Default","North Asia Standard Time","58451 O'Kon Ranch","Suite 769","Port Friedrichview","Tennessee","09669-4673","Macao","220-825-8684","3","Elvis64@gmail.com","49.2809","-18.848","RGB(89,13,49)","11:35:05","1","0","1","11:35:05","11:35:05","1","9","85","11:35:05","1","0","0","null","11","2","1","Assigned","1","0","1"
"abde7696-1742-43f3-bec4-fcd139833f1a","2d7kc-Plainfield-ville","2d7kc-Plainfield-ville","Organization","Default","1","Default","Central European Standard Time","98527 Grayson Ranch","Apt. 650","Krystelfurt","Hawaii","27415","Peru","620-675-1629","1","Efren56@gmail.com","-13.0402","-131.2682","RGB(97,168,244)","11:35:05","1","1","0","11:35:05","11:35:05","1","33","47","11:35:05","0","2","2","null","78","3","0","Assigned","1","0","1"
"9d5d5df0-9f06-4dfb-8ed8-bde1ebcd4555","jow4s-Millcreek-ville","jow4s-Millcreek-ville","Region","Default","0","Default","Arabian Standard Time","70660 Alek Mountain","Apt. 016","Blakeshire","South Carolina","65961","Cayman Islands","407-258-4402","3","Charlene5@hotmail.com","-73.4808","160.9766","RGB(127,198,249)","11:35:05","1","0","0","11:35:05","11:35:05","0","32","75","11:35:05","2","2","0","null","50","3","1","Cancelled","0","1","1"
"049b73a6-817c-4b84-8342-bb077a3f2cb6","ucidf-Severn-mouth","ucidf-Severn-mouth","Area","Default","0","Default","Arabic Standard Time","82505 Dillon Prairie","Suite 072","Beatricefort","Michigan","87022-4835","Netherlands","781-676-1066","1","Kenton18@gmail.com","-85.4717","148.011","RGB(40,58,125)","11:35:05","0","1","1","11:35:05","11:35:05","0","20","83","11:35:05","1","0","0","null","61","2","0","Added","1","1","0"
"b919886b-143b-4a74-b0cf-e77a3716b8e4","ho8h2-Carmel-town","ho8h2-Carmel-town","Branch","Default","0","Default","Central America Standard Time","344 Raina Via","Suite 280","Presleybury","Florida","29097-3147","Tokelau","143-968-5757","1","Lilyan.OConner38@hotmail.com","-63.7492","-56.3063","RGB(237,22,41)","11:35:05","1","0","0","11:35:05","11:35:05","0","67","20","11:35:05","1","1","1","null","37","3","1","Assigned","1","1","0"
"1082db27-3ac9-4f1e-96b3-5ebd894627a7","y189r-Sugar Land-berg","y189r-Sugar Land-berg","Area","Default","1","Default","Pacific Standard Time (Mexico)","86904 Serenity Freeway","Suite 394","East Salvadorburgh","Missouri","41274","Mali","312-333-0120","0","Nelda_Effertz@yahoo.com","-51.4911","-7.6051","RGB(231,128,1)","11:35:05","0","1","0","11:35:05","11:35:05","1","87","25","11:35:05","0","1","1","null","7","3","1","Added","1","0","1"
"c8e12710-5390-405e-a450-70d25b1f6bc5","avsxg-Carmel-chester","avsxg-Carmel-chester","Region","Default","1","Default","AUS Eastern Standard Time","38440 Jayce Lodge","Suite 570","Connellyview","Kentucky","63409-2847","Sao Tome and Principe","637-479-2988","3","Nannie.Raynor@yahoo.com","43.9066","151.8529","RGB(20,190,28)","11:35:05","1","1","0","11:35:05","11:35:05","1","92","71","11:35:05","2","2","0","null","47","2","1","Cancelled","0","1","0"
"606e9cf6-15e6-4c70-bbfc-3fd16591863a","f1zj1-Kansas City-stad","f1zj1-Kansas City-stad","Branch","Default","0","Default","Turkey Standard Time","338 Hermina Ridge","Suite 372","South Wilmerfurt","South Carolina","73264-0040","Cook Islands","047-188-5870","2","Kyleigh.Considine79@gmail.com","-51.6904","-129.7974","RGB(175,245,29)","11:35:05","0","1","0","11:35:05","11:35:05","1","19","26","11:35:05","0","0","1","null","46","2","0","Completed","1","0","1"
"d5bac904-071f-4c2f-9126-a4134ae2c5e9","qv6oz-Cape Coral-mouth","qv6oz-Cape Coral-mouth","Region","Default","0","Default","UTC-02","3652 Eldridge Route","Suite 104","Creminshire","Kentucky","45242-9931","Guadeloupe","732-893-7850","3","Isidro_Nienow@gmail.com","48.0354","-113.1019","RGB(133,59,190)","11:35:05","1","0","1","11:35:05","11:35:05","1","88","26","11:35:05","0","0","1","null","98","2","0","Assigned","1","1","1"
"bd599a1d-1c3b-43c8-82bb-15037d403f20","c9um4-Elmhurst-view","c9um4-Elmhurst-view","Branch","Default","0","Default","Tokyo Standard Time","7941 Eusebio Fort","Apt. 925","East Madge","Maine","65480-1125","Liberia","989-364-3051","1","Sasha_Kutch@yahoo.com","66.9951","-33.6304","RGB(112,153,128)","11:35:05","0","0","1","11:35:05","11:35:05","0","96","95","11:35:05","2","2","1","null","30","1","1","No Show","0","0","1"
"c1dd2be2-7fcc-40d8-9d25-cb50c0586190","ncrao-San Rafael-land","ncrao-San Rafael-land","Branch","Default","1","Default","India Standard Time","5813 Dickens Cove","Suite 568","South San Francisco","North Carolina","57786","Canada","442-814-8782","4","Tito.Kozey@gmail.com","-12.9938","-7.8908","RGB(20,48,181)","11:35:05","1","1","1","11:35:05","11:35:05","1","76","80","11:35:05","0","2","2","null","12","3","0","Cancelled","1","1","1"
"7efc94a4-3029-4e51-9286-f8dba98be68a","fzm3f-Simi Valley-land","fzm3f-Simi Valley-land","Organization","Default","1","Default","Arabic Standard Time","9224 Shields Junctions","Suite 055","Chula Vista","Georgia","06465-3753","Paraguay","030-836-4484","3","Breanne13@gmail.com","-1.4523","-63.3263","RGB(20,12,200)","11:35:05","1","0","0","11:35:05","11:35:05","1","4","23","11:35:05","0","0","2","null","17","1","0","Completed","0","0","1"
"59fe1df7-468e-4392-8134-c8a1abfeec64","ihuai-Parker-ton","ihuai-Parker-ton","Organization","Default","1","Default","Georgian Standard Time","13165 Ivy Estates","Apt. 975","Lake Bette","Minnesota","06763-0761","Falkland Islands (Malvinas)","458-569-8368","1","Julianne2@hotmail.com","-45.1142","92.7609","RGB(79,62,219)","11:35:05","1","0","1","11:35:05","11:35:05","1","41","26","11:35:05","2","1","0","null","45","1","0","Added","1","1","1"
"eec9225a-287b-496f-a992-0a22da5eb73c","r980i-Middletown-fort","r980i-Middletown-fort","Organization","Default","1","Default","Israel Standard Time","6585 Felipe Key","Suite 699","Springfield","South Carolina","41871-6026","Gabon","080-862-5592","1","Cecile.Runte@hotmail.com","83.6312","15.0107","RGB(126,248,157)","11:35:05","0","1","1","11:35:05","11:35:05","0","3","63","11:35:05","2","0","1","null","30","2","0","Completed","0","0","1"
"6480d0b4-0d24-4f8f-8cc1-fcc0ca291b48","2lrcg-Brentwood-town","2lrcg-Brentwood-town","Branch","Default","1","Default","W. Central Africa Standard Time","9623 Lemke Mountains","Apt. 746","Homenickberg","South Dakota","62406-1718","Tonga","855-314-2730","1","Yvonne86@yahoo.com","53.6661","24.4574","RGB(49,203,54)","11:35:05","1","0","0","11:35:05","11:35:05","1","39","44","11:35:05","0","0","2","null","24","2","0","Cancelled","1","1","0"
"cbf92a30-bd60-462b-9dc8-6f1c1498b533","kzhb0-Walnut Creek-land","kzhb0-Walnut Creek-land","Branch","Default","1","Default","UTC+12","7751 Samanta Burg","Suite 094","New Scottyshire","Maine","18592","Uzbekistan","327-579-4601","2","Melyssa59@gmail.com","59.1297","-156.5236","RGB(90,151,92)","11:35:05","0","1","0","11:35:05","11:35:05","1","84","34","11:35:05","0","2","0","null","44","3","1","Cancelled","1","0","1"
"2d5b2387-b618-4bf1-afd0-703acd9c71af","isk06-Manhattan-land","isk06-Manhattan-land","Branch","Default","1","Default","SA Pacific Standard Time","03886 Raleigh Drive","Apt. 696","North Laylastad","Maryland","99379","Macao","558-190-5684","0","Geraldine38@yahoo.com","41.3306","-166.3381","RGB(157,160,140)","11:35:05","1","1","0","11:35:05","11:35:05","0","44","6","11:35:05","2","0","1","null","39","2","0","Completed","1","1","0"
"3f22c5c4-a294-4e1c-9222-6656a9b21a07","fkkn6-Provo-fort","fkkn6-Provo-fort","Branch","Default","1","Default","Tasmania Standard Time","914 Flatley Cove","Apt. 053","Corkeryberg","Nevada","80281-9249","Svalbard & Jan Mayen Islands","885-149-1920","3","Flavie.Vandervort55@gmail.com","-55.4441","159.2604","RGB(101,39,2)","11:35:05","1","1","1","11:35:05","11:35:05","1","91","87","11:35:05","0","0","1","null","99","3","1","Assigned","1","0","0"
"695f5109-f7f3-4509-9166-e87a6071aef3","3ghv0-Loveland-view","3ghv0-Loveland-view","Region","Default","1","Default","Eastern Standard Time","3449 Jayda Mountain","Apt. 185","Lake Darlenemouth","Texas","08171","Bouvet Island (Bouvetoya)","956-102-8655","4","Hollie.Marquardt@yahoo.com","-29.9733","-21.0322","RGB(70,207,85)","11:35:05","1","0","0","11:35:05","11:35:05","0","47","9","11:35:05","0","1","2","null","43","2","1","Completed","0","1","1"
"a9beefcc-cb5e-4b5d-a030-bcfa4aa6254f","w5zyi-Joplin-side","w5zyi-Joplin-side","Department","Default","1","Default","Mauritius Standard Time","120 O'Conner Rest","Suite 944","Larkinhaven","Arkansas","93528-3896","Bhutan","437-874-7908","3","Eliezer_Welch@yahoo.com","-44.1533","163.2862","RGB(48,93,160)","11:35:05","0","1","1","11:35:05","11:35:05","0","3","13","11:35:05","1","0","0","null","77","2","1","Completed","0","1","0"
"e388e6d2-8d23-4e58-9232-4cfd836cea2b","sae44-Garland-borough","sae44-Garland-borough","Organization","Default","1","Default","Mid-Atlantic Standard Time","3029 Bartell Forest","Suite 320","Iowa City","West Virginia","97884-8154","Brazil","386-804-0192","2","Gilbert_Stokes37@hotmail.com","48.0318","158.2162","RGB(219,174,160)","11:35:05","0","0","1","11:35:05","11:35:05","0","10","58","11:35:05","2","1","0","null","14","1","1","Cancelled","1","0","1"
"e561e1ea-1663-40f7-9232-93d9cdc90e1e","r9d8g-Redondo Beach-ton","r9d8g-Redondo Beach-ton","Organization","Default","0","Default","Pacific Standard Time","19582 Norris Common","Apt. 554","East Cotyview","Louisiana","53046","San Marino","048-156-7046","1","America_Bins@hotmail.com","-22.5769","-138.1478","RGB(154,132,11)","11:35:05","0","0","0","11:35:05","11:35:05","1","30","51","11:35:05","0","1","2","null","2","1","1","No Show","0","0","1"
"c6a0894a-684f-4e59-a95f-00e2ce268bf3","592j5-Fort Worth-mouth","592j5-Fort Worth-mouth","Branch","Default","1","Default","UTC-02","6231 Bernier Flats","Suite 134","Hicksville","Kentucky","62018","Saint Kitts and Nevis","670-466-5635","0","Waino_Heidenreich@yahoo.com","-88.4501","2.674","RGB(15,141,105)","11:35:05","1","0","1","11:35:05","11:35:05","0","53","47","11:35:05","1","2","2","null","17","2","1","Completed","1","1","1"
"caaec1cd-53b2-4eee-82d9-be4578a406c7","9cur3-Little Rock-side","9cur3-Little Rock-side","Department","Default","1","Default","Central Standard Time (Mexico)","83567 Nikki Shores","Suite 187","Monterey Park","New Mexico","66436","Iraq","597-814-3807","1","Mara_Upton26@yahoo.com","-67.4027","-146.7306","RGB(189,15,62)","11:35:05","1","1","1","11:35:05","11:35:05","0","33","14","11:35:05","2","2","2","null","65","3","1","No Show","1","0","0"
"8f8bc57e-fea9-4d4a-86d9-3c35201fea40","1u80u-Burien-furt","1u80u-Burien-furt","Department","Default","0","Default","Jordan Standard Time","0969 Treutel Falls","Apt. 003","Lake Christfort","Washington","77918","Bulgaria","916-545-7141","0","Chance_Quigley@gmail.com","-28.5095","64.7516","RGB(43,13,3)","11:35:05","1","0","1","11:35:05","11:35:05","0","25","76","11:35:05","2","0","2","null","98","2","1","Completed","0","0","1"
"99dbecc1-2828-4cda-a03f-f60a9133c63e","6tnkv-Normal-burgh","6tnkv-Normal-burgh","Holding Company","Default","0","Default","Argentina Standard Time","8605 Fay Port","Suite 331","North Santiago","California","22180-7060","Maldives","663-915-4934","1","Christ62@hotmail.com","-30.5158","157.8537","RGB(231,157,73)","11:35:05","0","1","1","11:35:05","11:35:05","0","31","72","11:35:05","2","0","1","null","26","2","0","Cancelled","0","0","1"
"5869fd18-844e-4ad2-a874-886977e9b9bc","7pl90-Shoreline-mouth","7pl90-Shoreline-mouth","Branch","Default","1","Default","Central America Standard Time","08453 Schroeder Crest","Suite 775","Smyrna","Kansas","59492-3146","Serbia","871-662-2269","1","Janis57@hotmail.com","61.7662","39.6451","RGB(184,94,16)","11:35:05","1","1","0","11:35:05","11:35:05","0","55","20","11:35:05","1","0","0","null","17","2","1","Added","0","0","1"
"cc6cd20c-b8ff-44ed-b868-f23959277dad","w2ro3-Simi Valley-burgh","w2ro3-Simi Valley-burgh","Area","Default","1","Default","AUS Central Standard Time","7301 Bryana Summit","Suite 042","East Aniyaberg","Arkansas","21113-4880","Marshall Islands","467-074-3420","4","Bernice9@gmail.com","-30.8371","-35.5806","RGB(40,12,212)","11:35:05","1","0","1","11:35:05","11:35:05","1","39","37","11:35:05","0","0","0","null","50","3","0","Completed","0","0","1"
"ad1a0146-bbf4-40dc-8ae9-0947ec6b50f5","mcs31-Fresno-burgh","mcs31-Fresno-burgh","Area","Default","0","Default","E. Europe Standard Time","61370 Bernier Rapids","Suite 964","Whittier","Minnesota","92755-4684","Trinidad and Tobago","497-922-2589","4","Clint.Hettinger@gmail.com","35.0891","-109.6626","RGB(216,225,232)","11:35:05","0","0","0","11:35:05","11:35:05","1","10","56","11:35:05","0","2","2","null","21","2","1","Cancelled","1","1","1"
"dcd3a9ae-031c-44b5-83b3-ddadb58be707","x4hck-Tulare-ton","x4hck-Tulare-ton","Region","Default","1","Default","Arabian Standard Time","609 Melyna Mountains","Apt. 564","Port Emmitt","South Carolina","76996-0702","Zimbabwe","010-129-9003","3","Demond.Schimmel46@yahoo.com","20.0011","125.8712","RGB(204,210,156)","11:35:05","0","1","1","11:35:05","11:35:05","1","96","64","11:35:05","2","1","1","null","93","2","1","Cancelled","0","0","0"
"b8e31e9e-934a-4b92-9586-be678ac7f7b3","o0vpv-Taylorsville-haven","o0vpv-Taylorsville-haven","Holding Company","Default","1","Default","Central Asia Standard Time","2941 Cassie Field","Apt. 789","Walkerburgh","Wisconsin","42772-3591","Zambia","225-028-6373","2","Lillian.Lueilwitz@yahoo.com","37.7416","-54.646","RGB(164,0,208)","11:35:05","1","1","1","11:35:05","11:35:05","1","50","85","11:35:05","0","0","1","null","89","1","1","Assigned","0","1","1"
